TAS, Life tables (period 1x10), Total	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01600  0.01578  0.12  100000    1578   98606  7208909  72.09
1971-1979        1      0.00105  0.00105  0.50   98422     103   98371  7110303  72.24
1971-1979        2      0.00085  0.00085  0.50   98319      83   98277  7011932  71.32
1971-1979        3      0.00079  0.00078  0.50   98235      77   98197  6913655  70.38
1971-1979        4      0.00067  0.00067  0.50   98158      66   98125  6815458  69.43
1971-1979        5      0.00067  0.00067  0.50   98092      65   98060  6717333  68.48
1971-1979        6      0.00058  0.00058  0.50   98027      57   97998  6619273  67.53
1971-1979        7      0.00046  0.00046  0.50   97970      45   97947  6521275  66.56
1971-1979        8      0.00053  0.00053  0.50   97925      52   97899  6423327  65.59
1971-1979        9      0.00045  0.00045  0.50   97873      44   97851  6325429  64.63
1971-1979       10      0.00032  0.00032  0.50   97829      31   97813  6227578  63.66
1971-1979       11      0.00041  0.00041  0.50   97798      40   97778  6129765  62.68
1971-1979       12      0.00056  0.00056  0.50   97758      55   97730  6031987  61.70
1971-1979       13      0.00046  0.00046  0.50   97703      45   97680  5934257  60.74
1971-1979       14      0.00077  0.00077  0.50   97658      75   97621  5836576  59.77
1971-1979       15      0.00076  0.00076  0.50   97583      74   97546  5738956  58.81
1971-1979       16      0.00114  0.00114  0.50   97509     112   97453  5641410  57.86
1971-1979       17      0.00180  0.00180  0.50   97398     175   97310  5543956  56.92
1971-1979       18      0.00167  0.00167  0.50   97222     162   97141  5446647  56.02
1971-1979       19      0.00139  0.00139  0.50   97060     135   96993  5349505  55.12
1971-1979       20      0.00172  0.00172  0.50   96925     167   96842  5252513  54.19
1971-1979       21      0.00149  0.00149  0.50   96758     144   96686  5155671  53.28
1971-1979       22      0.00142  0.00142  0.50   96614     137   96545  5058985  52.36
1971-1979       23      0.00110  0.00110  0.50   96476     106   96423  4962440  51.44
1971-1979       24      0.00100  0.00099  0.50   96370      96   96322  4866017  50.49
1971-1979       25      0.00115  0.00115  0.50   96274     111   96219  4769694  49.54
1971-1979       26      0.00108  0.00108  0.50   96164     104   96112  4673475  48.60
1971-1979       27      0.00105  0.00105  0.50   96060     101   96009  4577364  47.65
1971-1979       28      0.00109  0.00109  0.50   95959     105   95906  4481355  46.70
1971-1979       29      0.00114  0.00114  0.50   95854     110   95799  4385448  45.75
1971-1979       30      0.00078  0.00078  0.50   95744      75   95707  4289649  44.80
1971-1979       31      0.00125  0.00125  0.50   95670     120   95610  4193943  43.84
