VIC, Life tables (period 1x5), Males	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01624  0.01601  0.12  100000    1601   98586  6909137  69.09
1971-1974        1      0.00114  0.00114  0.50   98399     112   98343  6810551  69.21
1971-1974        2      0.00095  0.00094  0.50   98287      93   98241  6712208  68.29
1971-1974        3      0.00065  0.00065  0.50   98194      64   98162  6613967  67.36
1971-1974        4      0.00055  0.00055  0.50   98131      54   98104  6515805  66.40
1971-1974        5      0.00044  0.00043  0.50   98076      43   98055  6417701  65.44
1971-1974        6      0.00054  0.00054  0.50   98034      53   98007  6319646  64.46
1971-1974        7      0.00053  0.00053  0.50   97980      52   97954  6221639  63.50
1971-1974        8      0.00034  0.00034  0.50   97928      33   97912  6123685  62.53
1971-1974        9      0.00039  0.00039  0.50   97895      38   97876  6025774  61.55
1971-1974       10      0.00036  0.00036  0.50   97857      36   97839  5927898  60.58
1971-1974       11      0.00036  0.00036  0.50   97821      35   97804  5830058  59.60
1971-1974       12      0.00034  0.00034  0.50   97786      33   97770  5732255  58.62
1971-1974       13      0.00046  0.00046  0.50   97753      45   97731  5634485  57.64
1971-1974       14      0.00042  0.00042  0.50   97708      41   97688  5536754  56.67
1971-1974       15      0.00066  0.00066  0.50   97668      65   97635  5439066  55.69
1971-1974       16      0.00089  0.00089  0.50   97603      87   97559  5341431  54.73
1971-1974       17      0.00124  0.00124  0.50   97516     121   97455  5243872  53.77
1971-1974       18      0.00189  0.00189  0.50   97395     184   97303  5146417  52.84
1971-1974       19      0.00201  0.00201  0.50   97210     195   97113  5049114  51.94
1971-1974       20      0.00186  0.00185  0.50   97015     180   96925  4952001  51.04
1971-1974       21      0.00183  0.00183  0.50   96835     177   96747  4855076  50.14
1971-1974       22      0.00157  0.00157  0.50   96658     152   96582  4758329  49.23
1971-1974       23      0.00146  0.00146  0.50   96506     140   96436  4661747  48.31
1971-1974       24      0.00144  0.00144  0.50   96366     138   96297  4565311  47.37
1971-1974       25      0.00120  0.00120  0.50   96228     116   96170  4469014  46.44
