WA, Life tables (period 5x10), Total	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01495  0.01475  0.12  100000    1475   98700  7343530  73.44
1971-1979      1-4      0.00089  0.00354  1.56   98525     349  393249  7244830  73.53
1971-1979      5-9      0.00031  0.00153  2.28   98176     150  490472  6851581  69.79
1971-1979     10-14     0.00028  0.00140  2.49   98026     137  489785  6361109  64.89
1971-1979     15-19     0.00097  0.00486  2.93   97889     475  488459  5871324  59.98
1971-1979     20-24     0.00112  0.00557  2.34   97413     543  485621  5382865  55.26
1971-1979     25-29     0.00088  0.00437  2.55   96871     423  483318  4897245  50.55
1971-1979     30-34     0.00107  0.00532  2.64   96447     513  481024  4413927  45.77
1971-1979     35-39     0.00153  0.00765  2.74   95934     734  478011  3932903  41.00
1971-1979     40-44     0.00229  0.01138  2.69   95201    1084  473501  3454893  36.29
1971-1979     45-49     0.00407  0.02017  2.69   94117    1898  466202  2981391  31.68
1971-1979     50-54     0.00617  0.03041  2.61   92219    2805  454384  2515189  27.27
1971-1979     55-59     0.00999  0.04882  2.69   89414    4365  436994  2060805  23.05
1971-1979     60-64     0.01611  0.07760  2.65   85049    6599  409734  1623811  19.09
1971-1979     65-69     0.02582  0.12167  2.63   78450    9545  369635  1214077  15.48
1971-1979     70-74     0.04052  0.18470  2.61   68905   12727  314102   844443  12.26
1971-1979     75-79     0.06555  0.28263  2.56   56178   15877  242199   530341   9.44
1971-1979     80-84     0.09998  0.39940  2.48   40300   16096  160986   288142   7.15
1971-1979     85-89     0.15535  0.54946  2.34   24205   13300   85608   127156   5.25
1971-1979     90-94     0.23516  0.70745  2.18   10905    7715   32807    41548   3.81
1971-1979     95-99     0.34862  0.84348  1.94    3190    2691    7719     8741   2.74
1971-1979    100-104    0.47996  0.92490  1.68     499     462     962     1023   2.05
1971-1979    105-109    0.61729  0.96523  1.44      37      36      59       60   1.61
1971-1979    110+       0.72448  1.00000  1.38       1       1       2        2   1.38
1980-1989        0      0.00903  0.00896  0.13  100000     896   99221  7641976  76.42
1980-1989      1-4      0.00050  0.00201  1.59   99104     199  395935  7542755  76.11
1980-1989      5-9      0.00024  0.00120  2.35   98905     119  494209  7146820  72.26
